standard_marker_name,intra_extra,marker_class,is_core_histone,is_identity_marker,is_functional_marker,is_qc_marker,canonical_metal,canonical_mass,description
aSMA,Intra,CAFs,false,true,false,false,,,
BMI1,Intra,Chromatin,false,false,true,false,,,
CD109,Extra,Cancer,false,true,false,false,,,
CD11b,Extra,Immune,false,true,false,false,,,
CD11c,Extra,Immune,false,true,false,false,,,
CD19,Extra,Immune,false,true,false,false,,,
CD206,Extra,Immune,false,true,false,false,,,
CD24,Extra,Cancer,false,true,false,false,,,
CD25,Extra,Immune,false,true,false,false,,,
CD298,Extra,Human-mouse,false,true,false,false,,,
CD31,Extra,Stroma - pericytes,false,true,false,false,,,
CD3e,Extra,Immune,false,true,false,false,,,
CD4,Extra,Immune,false,true,false,false,,,
CD44,Extra,Cancer,false,true,false,false,,,
CD45,Extra,Immune,false,true,false,false,,,
CD47,Extra,Cancer,false,true,false,false,,,
CD49b,Extra,Immune,false,true,false,false,,,
CD49f,Extra,Cancer,false,true,false,false,,,
CD74,Extra,Cancer,false,true,false,false,,,
CD80,Extra,Immune,false,true,false,false,,,
CD8a,Extra,Immune,false,true,false,false,,,
CD90.2,Extra,CAFs,false,true,false,false,,,
CleavedH3,Intra,Chromatin,false,false,true,false,,,
CXCR4,Intra,Cancer,false,true,true,false,,,
CyclinB1,Intra,Cell-cycle,false,false,true,false,,,
DNA,Intra,Chromatin,false,false,true,true,,,
E-cadherin,Extra,Cancer,false,true,false,false,,,
EpCAM,Extra,Cancer,false,true,false,false,,,
ER,Intra,Cancer,false,true,true,false,,,
EZH2,Intra,Chromatin,false,false,true,false,,,
FOXP3,Intra,Immune,false,true,false,false,,,
GAL4,Intra,Cancer,false,true,false,false,,,
GATA3,Intra,Cancer,false,true,false,false,,,
GATA6,Intra,Cancer,false,true,false,false,,,
GFP,Intra,Cancer,false,true,false,false,,,
H2A,Intra,Chromatin,true,false,true,true,,,
H2AK119ub,Intra,Chromatin,false,false,true,false,,,
H2B,Intra,Chromatin,true,false,true,true,,,
H2BK5ac,Intra,Chromatin,false,false,true,false,,,
H3,Intra,Chromatin,true,false,true,true,,,
H3.3,Intra,Chromatin,true,false,true,true,,,
H3K18ac,Intra,Chromatin,false,false,true,false,,,
H3K27ac,Intra,Chromatin,false,false,true,false,,,
H3K27M,Intra,Chromatin,false,false,true,false,,,
H3K27me2,Intra,Chromatin,false,false,true,false,,,
H3K27me3,Intra,Chromatin,false,false,true,false,,,
H3K36me2,Intra,Chromatin,false,false,true,false,,,
H3K36me3,Intra,Chromatin,false,false,true,false,,,
H3K4me1,Intra,Chromatin,false,false,true,false,,,
H3K4me2,Intra,Chromatin,false,false,true,false,,,
H3K4me3,Intra,Chromatin,false,false,true,false,,,
H3K64ac,Intra,Chromatin,false,false,true,false,,,
H3K79me2,Intra,Chromatin,false,false,true,false,,,
H3K9ac,Intra,Chromatin,false,false,true,false,,,
H3K9me1,Intra,Chromatin,false,false,true,false,,,
H3K9me2,Intra,Chromatin,false,false,true,false,,,
H3K9me3,Intra,Chromatin,false,false,true,false,,,
H3S28p,Intra,Chromatin,false,false,true,false,,,
H4,Intra,Chromatin,true,false,true,true,,,
H4K16ac,Intra,Chromatin,false,false,true,false,,,
H4K20me3,Intra,Chromatin,false,false,true,false,,,
HLA-ABC,Extra,Human-mouse,false,true,false,false,,,
IdU,Intra,Cell-cycle,false,false,true,false,,,
Iridium,Intra,DNA,false,false,false,true,,,
KI67,Intra,Cell-cycle,false,false,true,false,,,
KRT14,Intra,Cancer,false,true,false,false,,,
KRT17,Intra,Cancer,false,true,false,false,,,
KRT5,Intra,Cancer,false,true,false,false,,,
KRT7,Intra,Cancer,false,true,false,false,,,
KRT8-18,Intra,Cancer,false,true,false,false,,,
Ly-6C,Extra,CAFs,false,true,false,false,,,
Ly-6G,Extra,CAFs,false,true,false,false,,,
MBD,Intra,Chromatin,false,false,true,false,,,
MHC-II,Extra,Immune,false,true,false,false,,,
MHC-II (I-A/I-E),Extra,Immune (mouse),false,true,false,false,,,
mMHC,Extra,Human-mouse,false,true,false,false,,,
Myc,Intra,Cancer,false,true,true,false,,,
N-cadherin,Extra,Cancer,false,true,false,false,,,
NSD1,Intra,Meth,false,false,true,false,,,
OCT4,Intra,Stemness,false,true,false,false,,,
p53,Intra,Cancer,false,true,true,false,,,
Pan-KRT,Intra,Cancer,false,true,false,false,,,
PD-L1,Extra,Immune,false,true,false,false,,,
PDPN,Intra,Cancer,false,true,false,false,,,
pERK,Intra,Cancer,false,true,true,false,,,
pH2A.X,Intra,Chromatin,false,false,true,false,,,
pH3,Intra,Cell-cycle,false,false,true,false,,,
Podoplanin,Extra,CAFs,false,true,false,false,,,
pRb,Intra,Cell-cycle,false,false,true,false,,,
S100A4,Intra,Cancer,false,true,false,false,,,
SLC44A4,Extra,Cancer,false,true,false,false,,,
TSPAN8,Extra,Cancer,false,true,false,false,,,
uH2A,Intra,Chromatin,false,false,true,false,,,
Vimentin,Intra,Cancer,false,true,false,false,,,
ZEB1,Intra,EMT,false,true,false,false,,,
